Topic,Count,Name,Representation,Representative_Docs
-1,77247,-1_congress_senate_legislation_bill,,
0,20835,0_irrigation_congress_reclamation_basin,,
1,11097,1_agriculture_agricultural_farms_crops,,
2,4928,2_fuels_renewable_fuel_energy,,
3,3645,3_forestry_forests_forest_timber,,
4,3632,4_pollution_legislation_smog_emissions,,
5,3478,5_legislation_congress_epa_pollution,,
6,3437,6_epa_environmental_environment_pollution,,
7,3144,7_highways_highway_legislation_roads,,
8,2741,8_congressman_senator_senate_death,,
9,2705,9_nuclear_uranium_reactors_reactor,,
10,2362,10_wilderness_lands_wildlife_acres,,
11,1988,11_amended_amendments_senate_bill,,
12,1803,12_warming_climate_greenhouse_emissions,,
13,1628,13_military_congress_committee_fiscal,,
14,1592,14_youth_volunteers_conservation_corps,,
15,1587,15_congress_senate_senator_bill,,
16,1501,16_fiscal_congress_spending_deficits,,
17,1473,17_fisheries_fishery_fishing_fishermen,,
18,1447,18_conservation_park_parks_recreation,,
19,1268,19_alaska_statehood_alaskans_alaskas,,
20,1172,20_hearings_hearing_subcommittee_witnesses,,
21,1144,21_president_war_policy_soviet,,
22,1082,22_mining_coal_mined_reclamation,,
23,1076,23_arctic_alaska_oil_energy,,
24,1057,24_pesticides_pesticide_insecticide_epa,,
25,961,25_tanker_exxon_tankers_spill,,
26,901,26_conservation_endangered_extinction_wildlife,,
27,877,27_lakes_lake_freshwater_pollution,,
28,816,28_fisheries_oceanography_oceanographic_oceans,,
29,761,29_noise_hearing_legislation_pollution,,
30,761,30_offshore_gulf_leases_atlantic,,
31,731,31_superfund_epa_cleanup_legislation,,
32,720,32_nasa_nasas_spacecraft_astronauts,,
33,699,33_congress_housing_government_neighborhoods,,
34,691,34_coal_fuels_mining_fuel,,
35,632,35_mining_reclamation_miners_ore,,
36,614,36_nafta_tariffs_agreements_exports,,
37,607,37_recycling_disposal_wastes_landfill,,
38,600,38_guard_marine_fisheries_guards,,
39,587,39_exports_agreements_congress_negotiations,,
40,561,40_sst_ssts_supersonic_subsonic,,
41,557,41_wednesday_tuesday_postponed_legislative,,
42,546,42_education_educational_students_schools,,
43,539,43_provisions_amended_amendment_amendments,,
44,529,44_ethanol_renewable_biofuels_fuels,,
45,524,45_kavanaugh_nominee_judiciary_judge,,
46,476,46_health_legislation_medical_federal,,
47,464,47_river_rivers_watershed_bill,,
48,461,48_funding_foundation_federal_sciences,,
49,455,49_refuge_refuges_wildlife_habitat,,
50,440,50_legislation_efficiency_fuel_gasoline,,
51,438,51_wetlands_wetland_conservation_wildlife,,
52,424,52_regulatory_regulation_legislation_regulations,,
53,418,53_pollution_acidity_emissions_precipitation,,
54,414,54_everglades_florida_floridas_ecosystem,,
55,412,55_amendment_grazing_livestock_ranching,,
56,409,56_unemployment_unemployed_federal_legislation,,
57,401,57_pipelines_pipeline_keystone_transcanada,,
58,395,58_gas_pipelines_pipeline_fuel,,
59,379,59_disposal_dumping_pollution_sewage,,
60,378,60_secretary_governor_president_nomination,,
61,372,61_subcommittee_committee_senate_environmental,,
62,363,62_pipelines_pipeline_alaska_alaskan,,
63,360,63_budget_appropriations_funding_fiscal,,
64,356,64_beijing_china_chinese_chinas,,
65,319,65_salmon_fisheries_fishery_fish,,
66,309,66_ann_nancy_mrs_her,,
67,302,67_nuclear_treaty_disarmament_soviets,,
68,297,68_immigration_immigrant_immigrants_fence,,
69,296,69_disposal_recycling_landfill_waste,,
70,294,70_solar_renewable_photovoltaic_sun,,
71,291,71_chemicals_substances_hazardous_epa,,
72,276,72_businesses_business_entrepreneurs_small,,
73,267,73_veterans_appropriations_veteran_fiscal,,
74,251,74_fisheries_wildlife_fish_legislation,,
75,251,75_abortion_overpopulation_policy_abortions,,
76,247,76_environmental_legislation_ecological_environment,,
77,244,77_tobacco_cigarette_nicotine_smokers,,
78,236,78_agriculture_agricultural_sugar_crops,,
79,220,79_ozonedepleting_ozone_chlorofluorocarbons_emissions,,
80,219,80_epa_nepa_regulations_nepas,,
81,215,81_steelmaking_steelworkers_steel_industrial,,
82,209,82_chesapeake_estuary_wetlands_bay,,
83,208,83_taxes_tax_reform_senate,,
84,205,84_narcotics_drug_drugs_methamphetamine,,
85,201,85_rationing_proposal_ration_plans,,
