Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
0,11628,0_farm_farmers_agriculture_program,,,,
1,9383,1_energy_oil_we_gas,,,,
2,8709,2_reclamation_projects_project_irrigation,,,,
3,4491,3_air_pollution_clean_standards,,,,
4,6775,4_environmental_environment_epa_to,,,,
5,3583,5_transportation_highway_transit_rail,,,,
6,6617,6_his_he_was_him,,,,
7,5644,7_water_river_flood_project,,,,
8,3009,8_nuclear_waste_energy_the,,,,
9,4351,9_water_pollution_treatment_clean,,,,
10,3380,10_forest_timber_forests_the,,,,
11,3929,11_unanimous_consent_ask_mr,,,,
12,2428,12_climate_change_global_carbon,,,,
13,4948,13_park_parks_recreation_land,,,,
14,2049,14_youth_corps_young_conservation,,,,
15,12559,15_the_of_that_and,,,,
16,2413,16_defense_military_base_the,,,,
17,3195,17_budget_we_spending_tax,,,,
18,2178,18_fishing_fisheries_fishery_fishermen,,,,
19,1783,19_alaska_lands_land_the,,,,
20,3319,20_wilderness_areas_area_forest,,,,
21,2590,21_the_in_of_and,,,,
22,1549,22_mining_coal_surface_strip,,,,
23,1270,23_pesticides_pesticide_fda_food,,,,
24,1972,24_species_endangered_act_wildlife,,,,
25,1285,25_oil_spill_liability_spills,,,,
26,1464,26_oil_arctic_drilling_anwr,,,,
27,1396,27_indian_indians_tribes_tribal,,,,
28,2050,28_colorado_water_river_project,,,,
29,1381,29_lakes_lake_great_water,,,,
30,1238,30_ocs_oil_drilling_coastal,,,,
31,861,31_noise_airport_aircraft_faa,,,,
32,1079,32_superfund_sites_cleanup_hazardous,,,,
33,848,33_space_nasa_station_shuttle,,,,
34,890,34_fire_forest_fires_forests,,,,
35,1596,35_coal_energy_gas_of,,,,
36,1309,36_housing_urban_cities_of,,,,
37,685,37_sst_concorde_supersonic_aircraft,,,,
38,1220,38_mining_minerals_mineral_mines,,,,
39,848,39_calendar_act_rule_monday,,,,
40,824,40_nafta_mexico_trade_agreement,,,,
41,1909,41_power_transmission_bonneville_hydropower,,,,
42,912,42_waste_solid_recycling_disposal,,,,
43,786,43_guard_coast_vessels_maritime,,,,
44,1573,44_water_california_drought_delta,,,,
45,1161,45_ocean_noaa_oceans_marine,,,,
46,1552,46_trade_agreement_agreements_we,,,,
47,1180,47_education_school_schools_students,,,,
48,819,48_canal_everglades_florida_panama,,,,
49,724,49_ethanol_gasoline_fuels_fuel,,,,
50,1047,50_section_shall_rule_educational,,,,
51,964,51_judge_court_he_supreme,,,,
52,1370,52_refuge_wildlife_refuges_fish,,,,
53,1069,53_river_scenic_rivers_wild,,,,
54,1182,54_science_research_technology_scientific,,,,
55,2047,55_wildlife_fish_hunting_sportsmen,,,,
56,1217,56_health_medical_disease_research,,,,
57,674,57_wetlands_wetland_404_the,,,,
58,1455,58_regulatory_regulations_regulation_agencies,,,,
59,868,59_vehicles_fuel_cars_electric,,,,
60,821,60_unanimous_consent_session_ask,,,,
61,515,61_acid_rain_emissions_sulfur,,,,
62,642,62_grazing_lands_ranchers_livestock,,,,
63,780,63_salmon_fish_hatchery_fisheries,,,,
64,559,64_pipeline_keystone_xl_oil,,,,
65,834,65_interior_secretary_watt_he,,,,
66,928,66_gas_natural_price_prices,,,,
67,915,67_unemployment_employment_jobs_unemployed,,,,
68,638,68_pipeline_canadian_oil_route,,,,
69,513,69_dumping_ocean_marine_sludge,,,,
70,2472,70_000_budget_million_00,,,,
71,513,71_china_chinese_trade_chinas,,,,
72,710,72_disaster_flood_hurricane_and,,,,
73,914,73_her_she_was_women,,,,
74,645,74_coastal_zone_barrier_management,,,,
75,612,75_nuclear_weapons_mx_soviet,,,,
76,558,76_hearing_dirksen_room_announce,,,,
77,601,77_solar_energy_heating_cooling,,,,
78,526,78_immigration_border_immigrants_they,,,,
79,612,79_hazardous_waste_disposal_wastes,,,,
80,647,80_chemical_chemicals_substances_toxic,,,,
81,605,81_small_business_businesses_sba,,,,
82,613,82_veterans_va_care_housing,,,,
83,437,83_hearing_subcommittee_room_testimony,,,,
84,413,84_population_family_planning_growth,,,,
85,464,85_education_environmental_students_school,,,,
86,1550,86_tax_income_taxes_to,,,,
87,272,87_tobacco_smoking_smoke_cigarette,,,,
88,273,88_sugar_beet_beets_honey,,,,
89,260,89_ozone_cfcs_layer_protocol,,,,
90,426,90_nepa_environmental_impact_federal,,,,
91,306,91_steel_industry_trade_capital,,,,
92,430,92_bay_chesapeake_watershed_maryland,,,,
93,363,93_rationing_plan_gasoline_standby,,,,
94,316,94_drug_meth_drugs_methamphetamine,,,,
95,238,95_tongass_timber_forest_alaska,,,,
96,228,96_rollcall_voted_no_yea,,,,
97,339,97_drought_farmers_disaster_crop,,,,
98,271,98_tropical_forests_forest_debt,,,,
99,265,99_tva_tennessee_power_valley,,,,
100,639,100_drinking_water_safe_contaminants,,,,
101,241,101_mercury_cement_epa_emissions,,,,
102,579,102_nevada_wilderness_land_area,,,,
103,220,103_forestry_hearing_nutrition_agriculture,,,,
104,315,104_osha_workers_safety_occupational,,,,
105,395,105_duck_migratory_stamp_waterfowl,,,,
106,221,106_israel_arab_jewish_palestine,,,,
107,224,107_lead_poisoning_paint_children,,,,
108,316,108_puerto_rico_islands_guam,,,,
109,190,109_veterans_orange_agent_vietnam,,,,
110,553,110_erda_energy_research_solar,,,,
111,166,111_daylight_saving_time_yearround,,,,
112,363,112_delaware_hudson_compact_river,,,,
113,2351,113_conservation_it_that_bill,,,,
114,423,114_hells_canyon_snake_dam,,,,
